2017-06-11 19:44:40 [main][org.springframework.context.support.AbstractApplicationContext-574] INFO  - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@76653b8e: startup date [Sun Jun 11 19:44:40 CST 2017]; root of context hierarchy
2017-06-11 19:44:41 [main][com.wuxi.service.BeansFactory-26] INFO  - new car
2017-06-11 19:44:52 [main][org.springframework.context.support.AbstractApplicationContext-574] INFO  - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@614a962e: startup date [Sun Jun 11 19:44:52 CST 2017]; root of context hierarchy
2017-06-11 19:44:52 [main][org.springframework.beans.factory.xml.XmlBeanDefinitionReader-317] INFO  - Loading XML bean definitions from class path resource [applicationContext.xml]
2017-06-11 19:44:53 [main][org.springframework.beans.factory.xml.XmlBeanDefinitionReader-317] INFO  - Loading XML bean definitions from class path resource [application-datasource.xml]
2017-06-11 19:44:53 [main][org.springframework.core.io.support.PropertiesLoaderSupport-172] INFO  - Loading properties file from file [/Users/dasouche/Documents/project/chunlei/target/classes/jdbc.properties]
2017-06-11 19:44:53 [main][com.wuxi.service.TimeRecoder-22] INFO  - beansFactory is going to be initilized,time now is Sun Jun 11 19:44:53 CST 2017
2017-06-11 19:44:53 [main][com.wuxi.service.TimeRecoder-29] INFO  - beansFactory has been initilized,time now is Sun Jun 11 19:44:53 CST 2017
2017-06-11 19:44:53 [main][com.wuxi.service.TimeRecoder-22] INFO  - com.wuxi.service.animal.Tiger#0 is going to be initilized,time now is Sun Jun 11 19:44:53 CST 2017
2017-06-11 19:44:53 [main][com.wuxi.service.TimeRecoder-29] INFO  - com.wuxi.service.animal.Tiger#0 has been initilized,time now is Sun Jun 11 19:44:53 CST 2017
2017-06-11 19:44:53 [main][com.wuxi.service.TimeRecoder-29] INFO  - com.wuxi.service.animal.Tiger#0 has been initilized,time now is Sun Jun 11 19:44:53 CST 2017
